,user,tweet,date_tweet,tweet_id,keyword
0,MWILI ni UWILI { Duality},@IruraMwongera @Amen_Baba_ KOUMA (to be dry KM )   KAA  UKAA  ( Charcoal Appearance = Black )  KM-T  the charcoal  is dark yet it glows when it burns  MWASHE  KAA  ZENU  !,2020-02-09 07:36:08,1226409428926304256,"ntu,nanyang technological university"
1,نورليانا رحمة,"You know how everyone’s introducing themselves as an NTU student or pursuing their Bachelors or a graduate and you’re just like, “I finished my Diploma and taking another Diploma?” Hahaha. I really dislike introducing myself cause I know I’m no where near all of these. Brb crying",2020-02-09 07:25:50,1226406837714472960,"ntu,nanyang technological university"
2,無限的我🏳️‍🌈,is ntu rly not gonna move big-group lectures online...,2020-02-09 07:07:53,1226402319509512192,"ntu,nanyang technological university"
3,Attention Deficit Hauntological Deconstruction,"But also, the Chinese speaking groups that operated in dialects would slowly find their support withering away. This culminated in the closing of Nanyang University, which was the only Chinese medium university. It reopened as NTU.",2020-02-09 06:19:15,1226390081167978498,"ntu,nanyang technological university"
4,MWILI ni UWILI { Duality},@MigunaMiguna @DrMumbiSeraki When your faced with a force mightier than you ! It is advisable to be HUMBLE even if your RIGHT !  Power &amp; Might hates chest thumpers! A GENTLE-MAN muss learn to be GENTLE as a Ram  🐏 even when he is as Fierce as a LION 🦁! https://t.co/ajGoHVTW7m,2020-02-09 05:54:39,1226383893508562945,"ntu,nanyang technological university"
5,Gyanindra Mishra,Sir Robbing is Crime but Robbing by political parties through tax and giving freebies is Social Justice...is it? But Is it justice to @NTU I think @ArvindKejriwal @RahulGandhi @narendramodi  @AamAadmiParty @Inc @BJP4India  need to answer.... https://t.co/szlgCPhScC,2020-02-09 04:35:22,1226363939048394752,"ntu,nanyang technological university"
6,(purpose) taeyeon,ntu whr r u (even tho lectures are cancelled) https://t.co/KB6nrDieKJ,2020-02-09 04:33:35,1226363490937344001,"ntu,nanyang technological university"
7,Nimish Gupta,@BLRAviation @airvistara @BoeingAirplanes Is @airvistara taking delivery of these 4 ex-Hainan NTU planes? Or sticking with their originally ordered Aircraft with the originally designed configuration?,2020-02-09 04:05:20,1226356379025211392,"ntu,nanyang technological university"
8,zach j. payne,"You start writing a scene where an elder millennial explains duck face and mirror selfies to his niece, and the night ends with you reading research papers. https://t.co/RLM6i9JBr9",2020-02-09 03:47:49,1226351972757970949,"ntu,nanyang technological university"
9,I Hussain T,"@QaziMazhar_ on fire.
#NTU_days
#memories
#dorm
#traveling 
#attan https://t.co/j7GGBcweCL",2020-02-09 03:26:51,1226346698114359298,"ntu,nanyang technological university"
10,Ryan Collins,"To the girl from @TrentUni who cupped my balls and backed into me all night fuck off leave me alone. 

Just because you’re a girl doesn’t mean you aren’t rapey.

Especially after I said leave me alone 3 times. #NTU #LEAVEMEALONE",2020-02-09 02:05:40,1226326266078466048,"ntu,nanyang technological university"
11,ellie carson,"@NTU how many bloody students did you take on this year?! Currently in the SU finding it difficult to even breath, let alone move or dance!!!",2020-02-09 01:43:20,1226320644381515777,"ntu,nanyang technological university"
12,King Chody's Minion,"Pledge your allegiance to King Chody, the Legendary NTU SCSE SG Top Graduate! *cheers*",2020-02-09 00:46:24,1226306319579336705,"ntu,nanyang technological university"
13,King Chody's Minion,King Chody is the Legendary NTU SCSE SG Top Graduate! *smiles*,2020-02-08 23:36:09,1226288640336285696,"ntu,nanyang technological university"
14,🕯 Mitchell Mhlanga,"@AllHailControl @Mokgalakamokoe1 Before y’all take on each other on tht, know tht as long as you are BaNtu you are Ntu’s offspring. Good Day",2020-02-08 23:17:02,1226283828974538752,"ntu,nanyang technological university"
15,King Chody's Minion,"Follow King Chody, the Legendary NTU SCSE SG Top Graduate.. Compliance will be rewarded! Hail Hydra!! *smiles*",2020-02-08 22:55:47,1226278481153183745,"ntu,nanyang technological university"
16,Wilner Nau,"Professor Su Guaning, President Emeritus of NTU Singapore, elected to the United States National - https://t.co/fCmMQGzNuV #GoogleAlerts",2020-02-08 22:45:38,1226275926243188737,"ntu,nanyang technological university"
17,King Chody's Minion,"I am Tom, a loyal minion of King Chody, the Legendary NTU SCSE SG Top Graduate! *smiles*",2020-02-08 22:17:22,1226268813966106624,"ntu,nanyang technological university"
18,King Chody's Minion,"Follow King Chody, the Legendary NTU SCSE SG Top Graduate.. Compliance will be rewarded! Hail Hydra!! *waves*",2020-02-08 21:35:14,1226258211021430784,"ntu,nanyang technological university"
19,topgrass.dk kunstgræs,"Discuss #LandscapeArchitecture on reddit on this post - NTU students/exchange students, do you know anything about the program there? https://t.co/XPQ7lWUVjd",2020-02-08 21:29:25,1226256746018152449,"ntu,nanyang technological university"
20,Charlotte Pratley,@simonianbrown Sounds like you're ready for our session with the @NTU_Museum students 👌,2020-02-08 20:40:06,1226244336507138049,"ntu,nanyang technological university"
