,user,tweet,date_tweet,tweet_id,keyword
0,Ahmad,NUS students after receiving yesterday's email https://t.co/Z1rwLZ3WVT,2020-02-09 07:38:58,1226410143065133056,"nus,national university of singapore"
1,MLMMOS,The days of #NotNotPyramidScheme #MLM's are numbered proven track records of 99% losing $/ #SnakeOil salesmanship of endless bonus qualification chains &amp; false #GigEconomy #Successes/ $TUP collapsed- #WhoIsNext? $MED $USNA $NUS $HLF #doTerra #Arbonne #RodanFields #DotStella $NBEV https://t.co/qlrEzvzbd0,2020-02-09 07:11:28,1226403222132264960,"nus,national university of singapore"
2,MLMMOS,The days of #NotNotPyramidScheme #MLM's are numbered proven track records of 99% losing $/ #SnakeOil salesmanship of endless bonus qualification chains &amp; false #GigEconomy #Successes/ $TUP collapsed- #WhoIsNext? $MED $USNA $NUS $HLF #doTerra #Arbonne #RodanFields #DotStella $NBEV https://t.co/f4t9ktxEDy,2020-02-09 07:10:05,1226402873849896961,"nus,national university of singapore"
3,MLMMOS,The days of #NotNotPyramidScheme #MLM's are numbered proven track records of 99% losing $/ #SnakeOil salesmanship of endless bonus qualification chains &amp; false #GigEconomy #Successes/ $TUP collapsed- #WhoIsNext? $MED $USNA $NUS $HLF #doTerra #Arbonne #RodanFields #DotStella $NBEV https://t.co/g4BPELmF3g,2020-02-09 07:09:53,1226402826651414528,"nus,national university of singapore"
4,MLMMOS,The days of #NotNotPyramidScheme #MLM's are numbered proven track records of 99% losing $/ #SnakeOil salesmanship of endless bonus qualification chains &amp; false #GigEconomy #Successes/ $TUP collapsed- #WhoIsNext? $MED $USNA $NUS $HLF #doTerra #Arbonne #RodanFields #DotStella $NBEV https://t.co/J3y1s4fIzh,2020-02-09 07:09:44,1226402785924698119,"nus,national university of singapore"
5,MLMMOS,The days of #NotNotPyramidScheme #MLM's are numbered proven track records of 99% losing $/ #SnakeOil salesmanship of endless bonus qualification chains &amp; false #GigEconomy #Successes/ $TUP collapsed- #WhoIsNext? $MED $USNA $NUS $HLF #doTerra #Arbonne #RodanFields #DotStella $NBEV https://t.co/bz3mlZ4e2k,2020-02-09 07:09:27,1226402717167443970,"nus,national university of singapore"
6,Joythea dying in MXTX Bang 2019,"@trashqueen_cho Apparently, faculty might be giving out thermometer, according to the advisory. Not sure if your faculty would have prepared it, but do keep a look out for it if you're still in NUS.",2020-02-09 06:57:57,1226399822338392070,"nus,national university of singapore"
7,MLMMOS,#NotNotPyramidScheme #MLM's on New Illegal Tender series on Feb. 27 #GigEconomy #SideHustle #BossBabe  https://t.co/iml91ExVlB / $HLF $NUS $USNA $MED $TUP #Arbonne #LulaRoe etc. https://t.co/Fj78PqfEJL https://t.co/3unHXPdG3z,2020-02-09 06:55:16,1226399145105248257,"nus,national university of singapore"
8,Felicia Shadow-Walker,"@SSlivergriffin IIZ SLEN NUS, more words in Dovahzul, the sound of ice crystals and the formation of ice was both heard and seen travelling towards the male. If this struck him it would most likely cause him to or at least part of him to become encased in &gt;",2020-02-09 06:52:06,1226398349814882307,"nus,national university of singapore"
9,Jonda,"@insidenu It’s not even the “when I come in” that gets me, it’s the fact that he singled out two pivotal games in NUs March Madness Run (Michigan Tourney Clinch &amp; Purdue Sellout) as if he was a fan, name me any other recruit that’s that in tune with what a program did THREE YEARS AGO.

🧐",2020-02-09 06:18:13,1226389820517289984,"nus,national university of singapore"
10,nchammer,One of the biggest L's of 2019 was the Las Vegas 51's changed their name to the Aviators only to lose out on the whole Area 51 craze merch op later the same year.,2020-02-09 06:18:11,1226389815513378816,"nus,national university of singapore"
