,user,tweet,date_tweet,tweet_id,keyword
0,Kriznee Riego,Missing SMU so much https://t.co/iYaZzqeSaR,14/2/2020 7:52,1.22823E+18,"smu,singapore management university"
1,levi ia.,"happy valentines to everyone, specially to loml, @smu_renjun ! https://t.co/21zOXoSvbY",14/2/2020 7:48,1.22822E+18,"smu,singapore management university"
2,J.Nevaloved,@palmwinetapper_ @DjDFade only move Friday #unt #uta #smu #utd #tcu https://t.co/uD7j4GOr6X,14/2/2020 7:30,1.22822E+18,"smu,singapore management university"
3,The MARIAN,"Now: Parade of Beauties of SMU!

#SMUCampusPersonality2020",14/2/2020 7:26,1.22822E+18,"smu,singapore management university"
4,Keefer,@jamesproche3 Go get r done on Sunday’s you stud. Loved watching you at SMU.,14/2/2020 7:15,1.22822E+18,"smu,singapore management university"
5,Keith Hodge Jr,Just me and my big bro @AqibTalib21 happy birthday bro.#yuknow @RFootball @GregSchiano @RutgersRivals @RU_Recruiting @TiUnderwood @NorthCro_FB @CoachBeck_PTF @CoachCain51 @ShawnCollins10_ @PutOnForJersey @DraftDiamonds @PlayBookAthlete @SMU_Football @LetsGo_Bo5 @coachjfranklin https://t.co/iCZjpGbekz,14/2/2020 7:09,1.22821E+18,"smu,singapore management university"
6,Concordia WBB,"RECAP | Senior Tamika Etherly led the #CavWBB squad with 15 points on Thursday night.

#GNACWBB 

https://t.co/aKiyf6CUOq https://t.co/S8awtbiI1C",14/2/2020 6:52,1.22821E+18,"smu,singapore management university"
7,PublicHealthPharmacy,"Ey this year's Valentines day has gotten so much hype shu🥵🙄... Can we also hype up safe sex💃😂😂
#STIandcondomweek.",14/2/2020 6:28,1.2282E+18,"smu,singapore management university"
8,theybie,I thought I got a message from a recruiter on linked in but it was just some rando asking me to apply to smu’s MBA program and my social media usage made me want to respond “no I don’t want to bury myself even more in debt”,14/2/2020 6:21,1.2282E+18,"smu,singapore management university"
9,Erick Rodriguez 🇲🇽 🎮GDC🎉,"@Candace_Walker @GameDevDrinkUp Had a lot of fun at SMU &amp; the drinkup!
Thanks for visiting!",14/2/2020 6:16,1.2282E+18,"smu,singapore management university"
10,Sixteen Tons,@enosarris Murray Mountain was Rockin in early 70's https://t.co/NXn2YtUlpt,14/2/2020 5:52,1.2282E+18,"smu,singapore management university"
11,Eric Lilly,"The other scenario is solid too. SMU wins, we already have that tiebreaker locked in and don't have to worry about them jumping back in the game while tying Houston for first.",14/2/2020 5:52,1.2282E+18,"smu,singapore management university"
12,Eric Lilly,"Houston @ SMU Saturday is huge for tourney seeding. If Houston wins it likely means we only have to worry about Tulsa knocking us off the 1/2 line, and we have already locked in that tiebreaker. https://t.co/8j9wpLe9Zd",14/2/2020 5:51,1.2282E+18,"smu,singapore management university"
13,MetricSmart,"Being a good steward means keeping things running smoothly on a day-to-day basis, but also having the foresight and ability to plan for the future. 
https://t.co/j4QtMOVnp1",14/2/2020 5:47,1.22819E+18,"smu,singapore management university"
14,Chris Queen,"@thEMANacho Well said. NOBODY  does it. Current president, Clinton, cam newton, Louisville, Bobby petrino’s Harley, bama football, smu football, Jackie sherrill at 2 schools, Baylor 2 sports Love the podium. Great speaker. Deaf ears.",14/2/2020 5:42,1.22819E+18,"smu,singapore management university"
15,David Arnav,"#PXI #SMU Market Worth $267 Million by 2024 - Exclusive Report by MarketsandMarkets™

https://t.co/dp72c5SmJQ

@PRNewswire 

#Semiconductor #semiconductors #batteries #IoT",14/2/2020 5:36,1.22819E+18,"smu,singapore management university"
16,Singapore Management University,"Initially keen on pursuing a degree related to healthcare, how did Michelle Lim end up graduating with one in accounting? SMU Accountancy alumna Michelle looks back on internships, career preparation and coming out of her shell. #SMUBlog #SMUExperience https://t.co/pAfVTxvlci",14/2/2020 5:30,1.22819E+18,"smu,singapore management university"
17,Kayumanggi,Happy VD to all ! @EatBulaga @mainedcm @mariajolina @nicoleendyann @nicoletteannmc @therealcrmd @TuqueroJanice @SMU_OFC #ValentinesDay2020 https://t.co/k0fsdSJmjC,14/2/2020 5:26,1.22819E+18,"smu,singapore management university"
18,Sharrell,"@DBarrach Wow. Some peole have eternal optimism. 🙂
I love them but they ain’t making the tournament.  Too young, too injured, and too many tough games remaining. That SMU game coming back to bite them hard.",14/2/2020 5:06,1.22818E+18,"smu,singapore management university"
19,Rick Neuman,"@ThomasBoswellWP CFB, they would give them the SMU treatment... baseball...""go try and apologize""...and we will give u a participation trophy and retain ur Championship.",14/2/2020 5:04,1.22818E+18,"smu,singapore management university"
20,TK,"@Red_Sauce4Life @GregAbbott_TX First of all it the Gospels not Gosspil. Second, I have you reference material from the NT. Learn the Bible. You can rent a copy at your Allen library. Third, the OT when combined with the NT is what makes the entire Bible. You really went to SMU??? Shocking.",14/2/2020 5:03,1.22818E+18,"smu,singapore management university"
21,IamBoogeyMan,"@600espnelpaso More stats. Since Houston, Memphis, SMU,&amp; Tulsa left CUSA weakening the league 8 yrs. ago, the Miners have never finished better than T-3 and never made it past day 2 of the tournament.#thankstoanthonysalom",14/2/2020 4:58,1.22818E+18,"smu,singapore management university"
22,Brian Kervick,"Is Kendric Davis the most underrated player in the country?140+ ORTG on 23%+ possessions used in 5 of last 6 games. SMU top 10 offense by KenPom. He gets wherever he wants, draws help, finds open shooters, making 36% of 3s in conference play.

@MattNorlander @Sam_Vecenie",14/2/2020 4:57,1.22818E+18,"smu,singapore management university"
23,Ren 🌸,@Muse__Wendy @sooyeonsins @muse__yeri @UGHLANCE @_KIMDNGYNG @CES1ANA0L @smu_krystal @tiadulcee @CELESTlTlNE Happy Valentine's Day wends! I wuv uuuu 🥺🥺,14/2/2020 4:53,1.22818E+18,"smu,singapore management university"
24,Eric,"@Ben_Hill2 @ScottCo89049919 @GoodmanHoops Memphis should absolutely be a top 25 team. Deposit wiseman and injuries, no excuse to have lost to Georgia, Tulsa, SMU and USF. They also had Jeffries for the Tulsa and SMU games.",14/2/2020 4:52,1.22818E+18,"smu,singapore management university"
25,krys,@Muse__Wendy @sooyeonsins @muse__yeri @UGHLANCE @_KIMDNGYNG @harlenequeen_ @CES1ANA0L @tiadulcee @CELESTlTlNE love you 😘,14/2/2020 4:50,1.22818E+18,"smu,singapore management university"
26,wends,"Happy Valentines Day sa mga smu x mu students, mga kapatid ko, babies and moots! Enjoy your day together with your loved ones! Love ko kayo 🙆

{especially to: @sooyeonsins @muse__yeri @UGHLANCE @_KIMDNGYNG @harlenequeen_ @CES1ANA0L @smu_krystal || @tiadulcee @CELESTlTlNE + https://t.co/qPWLocziqG",14/2/2020 4:40,1.22818E+18,"smu,singapore management university"
27,Brian Coopersmith,"@sportswithfacts @THEFACTSMAN1 Imagine having SMU -4 yesterday thinking you took the nastiest beat, then you had Villanova -3 -20 and just like that you’ve out done yourself!",14/2/2020 4:34,1.22818E+18,"smu,singapore management university"
28,Anthony Salom,"It’s been 8 years since schools like Memphis, Houston, SMU and Tulsa left C-USA l, essentially “watering down” the league as a basketball conference. In those 8 years, UTEP has finished better than T-3 exactly once, and hasn’t made it past the 2nd day of the C-USA tourney.",14/2/2020 4:15,1.22817E+18,"smu,singapore management university"
29,Taylor Eldridge,"@TwitLifeFun @StevePike9 Nah, they could win 6 or maybe even 5 and still get in. They were already in before tonight. They've got to win out at home and then pick up 1 road win at SMU Memphis or Cincy and be fine.",14/2/2020 4:10,1.22817E+18,"smu,singapore management university"
30,Cjjr,"@taylor23941727 @sharrell86 I don't mind A-Lo running the point BUT in the last 5 minutes it should be Boogie Ellis. Have you noticed in the Georgia, SMU, South Florida, and now Cincinnati why they lose close game. Penny have not developed a go-to player. That should have been designated early in the season",14/2/2020 4:06,1.22817E+18,"smu,singapore management university"
31,Multi™,"Went to an SMU tourney tonight (cheaper and closer) and got 7th switching between Byleth and DDD.

Wish I performed better, but at least my Byleth is getting better. :)",14/2/2020 4:04,1.22817E+18,"smu,singapore management university"
32,samiahsyerra,I haven’t been at work one hour and I’ve already had to call SMU PD and have someone clean up puke off the carpet. I literally HATE it here.,14/2/2020 3:42,1.22816E+18,"smu,singapore management university"
33,The Philosopher,"Sulit ang pagod Nice game Team USL 🏀
Thanks SMU 💪
#USLTrendingat55 
#TEAMCICM",14/2/2020 3:36,1.22816E+18,"smu,singapore management university"
34,CardinalSID,"SW - @SMUMNSwim sitting 8th (men) and 9th (women) following Day 2 of MIAC Championships in Minneapolis, MN! McClay places 12th in 50 freestyle to pace Cardinal men, while Shefchik breaks second school record in 2 days to pace SMU women https://t.co/J5lzLEz839",14/2/2020 3:32,1.22816E+18,"smu,singapore management university"
35,Saint Martin's Women's Basketball,"Saints lead at the end of the third quarter! Claire Dingus leads the Saints with 16 points!

SMU 48
CU 29

#SaintsStrong",14/2/2020 3:29,1.22816E+18,"smu,singapore management university"
36,Anxiouschristian97,@tiffany_sunday @SMUBookstore @SMU @TexasBookClub So glad I stopped by!,14/2/2020 3:21,1.22816E+18,"smu,singapore management university"
37,Ron Muad'dib 2020,"Valentine's Day used to be the peak for SMU confessions submissions, about 200+ a day leading up to it. Mostly guys shitposting about their friends. Many wholesome declarations. Some creepy love confession posts.",14/2/2020 3:14,1.22816E+18,"smu,singapore management university"
38,Bob Phillips,InsideCTSports: Huskies Stumble at SMU https://t.co/1EYpxYbZrZ,14/2/2020 3:13,1.22816E+18,"smu,singapore management university"
